
--- Training started at 2026-01-06 23:15:31.483878 ---
Ep   1/300 | Tr: 0.1051 | Va: 0.0443 | PCC: -0.0010 | R2: -0.1067 | Best: 0.0000
Ep   2/300 | Tr: 0.0424 | Va: 0.0442 | PCC: 0.0432 | R2: -0.1043 | Best: 0.0432
Ep   3/300 | Tr: 0.0392 | Va: 0.0403 | PCC: -0.0004 | R2: -0.0060 | Best: 0.0432
Ep   4/300 | Tr: 0.0380 | Va: 0.0414 | PCC: 0.0526 | R2: -0.0344 | Best: 0.0526
Ep   5/300 | Tr: 0.0385 | Va: 0.0404 | PCC: 0.0555 | R2: -0.0082 | Best: 0.0555
Ep   6/300 | Tr: 0.0380 | Va: 0.0408 | PCC: 0.0562 | R2: -0.0186 | Best: 0.0562
Ep   7/300 | Tr: 0.0381 | Va: 0.0411 | PCC: 0.0514 | R2: -0.0265 | Best: 0.0562
Ep   8/300 | Tr: 0.0381 | Va: 0.0406 | PCC: 0.0565 | R2: -0.0145 | Best: 0.0565
Ep   9/300 | Tr: 0.0381 | Va: 0.0410 | PCC: 0.1189 | R2: -0.0232 | Best: 0.1189
Ep  10/300 | Tr: 0.0379 | Va: 0.0418 | PCC: 0.1212 | R2: -0.0448 | Best: 0.1212
Ep  20/300 | Tr: 0.0371 | Va: 0.1086 | PCC: -0.1186 | R2: -1.7124 | Best: 0.1212
Ep  30/300 | Tr: 0.0386 | Va: 0.0549 | PCC: -0.0099 | R2: -0.3712 | Best: 0.1212
Ep  40/300 | Tr: 0.0355 | Va: 0.0743 | PCC: 0.0819 | R2: -0.8568 | Best: 0.1658
