
--- Training started at 2026-01-06 23:17:57.697435 ---
Ep   1/200 | Tr: 0.0428 | Va: 0.0428 | PCC: 0.0816 | R2: -0.0418 | Best: 0.0816
Ep   2/200 | Tr: 0.0400 | Va: 0.0434 | PCC: 0.1276 | R2: -0.0563 | Best: 0.1276
Ep   3/200 | Tr: 0.0401 | Va: 0.0415 | PCC: 0.1195 | R2: -0.0107 | Best: 0.1276
Ep   4/200 | Tr: 0.0391 | Va: 0.0430 | PCC: 0.0825 | R2: -0.0469 | Best: 0.1276
Ep   5/200 | Tr: 0.0387 | Va: 0.0459 | PCC: 0.0191 | R2: -0.1158 | Best: 0.1276
Ep   6/200 | Tr: 0.0358 | Va: 0.0430 | PCC: 0.0787 | R2: -0.0463 | Best: 0.1276
Ep   7/200 | Tr: 0.0370 | Va: 0.0442 | PCC: 0.3332 | R2: -0.0761 | Best: 0.3332
Ep   8/200 | Tr: 0.0359 | Va: 0.0515 | PCC: 0.1744 | R2: -0.2519 | Best: 0.3332
Ep   9/200 | Tr: 0.0329 | Va: 0.4859 | PCC: 0.0003 | R2: -10.8185 | Best: 0.3332
Ep  10/200 | Tr: 0.0342 | Va: 0.0410 | PCC: 0.0692 | R2: 0.0029 | Best: 0.3332
Ep  20/200 | Tr: 0.0289 | Va: 0.3007 | PCC: -0.0003 | R2: -6.3142 | Best: 0.3332
